true_label,risk_score,classification,severity,ae_flagged,km_flagged
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-UDP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MITM-ARPSPOOFING,0.1497,KNOWN,LOW,False,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-UDP_FLOOD,0.3101,SUSPECT,MEDIUM,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.4989,ROGUE,HIGH,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.4528,ROGUE,HIGH,True,False
DOS-HTTP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
BENIGN,0.1858,KNOWN,LOW,False,False
DDOS-TCP_FLOOD,0.4992,ROGUE,HIGH,True,False
BENIGN,0.0891,KNOWN,LOW,False,False
DDOS-SYNONYMOUSIP_FLOOD,0.5335,ROGUE,HIGH,True,False
DDOS-TCP_FLOOD,0.4192,SUSPECT,MEDIUM,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
RECON-HOSTDISCOVERY,0.2703,KNOWN,LOW,False,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
BENIGN,0.3498,SUSPECT,MEDIUM,False,True
DOS-SYN_FLOOD,0.4495,ROGUE,HIGH,True,False
DDOS-UDP_FLOOD,0.3115,SUSPECT,MEDIUM,True,False
BENIGN,0.057,KNOWN,LOW,False,False
VULNERABILITYSCAN,0.0162,KNOWN,LOW,False,False
DDOS-SYN_FLOOD,0.4685,ROGUE,HIGH,True,False
DOS-SYN_FLOOD,0.3208,SUSPECT,MEDIUM,True,False
DOS-UDP_FLOOD,0.4717,ROGUE,HIGH,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DOS-UDP_FLOOD,0.4958,ROGUE,HIGH,True,False
DOS-UDP_FLOOD,0.4197,SUSPECT,MEDIUM,True,False
RECON-PORTSCAN,0.1566,KNOWN,LOW,False,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.4725,ROGUE,HIGH,True,False
DOS-UDP_FLOOD,0.4717,ROGUE,HIGH,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
RECON-OSSCAN,0.4541,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DNS_SPOOFING,0.3009,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-SYN_FLOOD,0.5509,ROGUE,HIGH,True,False
MITM-ARPSPOOFING,0.0435,KNOWN,LOW,False,False
DDOS-SYNONYMOUSIP_FLOOD,0.4767,ROGUE,HIGH,True,False
VULNERABILITYSCAN,0.7591,ROGUE,CRITICAL,True,True
DOS-UDP_FLOOD,0.483,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-SYN_FLOOD,0.5511,ROGUE,HIGH,True,False
DOS-TCP_FLOOD,0.4192,SUSPECT,MEDIUM,True,False
DNS_SPOOFING,0.0398,KNOWN,LOW,False,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.0916,KNOWN,LOW,False,False
DDOS-UDP_FLOOD,0.3011,KNOWN,LOW,True,False
BENIGN,0.1198,KNOWN,LOW,False,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
MITM-ARPSPOOFING,0.0485,KNOWN,LOW,False,False
VULNERABILITYSCAN,0.0406,KNOWN,LOW,False,False
DOS-SYN_FLOOD,0.4627,ROGUE,HIGH,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.4665,ROGUE,HIGH,True,False
DOS-UDP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.3488,SUSPECT,MEDIUM,True,False
DOS-SYN_FLOOD,0.555,ROGUE,HIGH,True,False
BENIGN,0.079,KNOWN,LOW,False,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.4301,SUSPECT,MEDIUM,True,False
DDOS-SLOWLORIS,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.4534,ROGUE,HIGH,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DOS-SYN_FLOOD,0.5509,ROGUE,HIGH,True,False
RECON-OSSCAN,0.0676,KNOWN,LOW,False,False
DOS-UDP_FLOOD,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.1603,KNOWN,LOW,False,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
BENIGN,0.0763,KNOWN,LOW,False,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
BENIGN,0.244,KNOWN,LOW,False,False
DOS-SYN_FLOOD,0.348,SUSPECT,MEDIUM,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.5395,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MITM-ARPSPOOFING,0.4567,ROGUE,HIGH,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.4607,ROGUE,HIGH,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
BENIGN,0.1914,KNOWN,LOW,False,False
RECON-HOSTDISCOVERY,0.3577,SUSPECT,MEDIUM,True,False
DOS-HTTP_FLOOD,0.3,KNOWN,LOW,True,False
RECON-HOSTDISCOVERY,0.5274,ROGUE,HIGH,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
BENIGN,0.2504,KNOWN,LOW,False,False
DDOS-TCP_FLOOD,0.4576,ROGUE,HIGH,True,False
DOS-UDP_FLOOD,0.3003,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.415,SUSPECT,MEDIUM,True,False
RECON-HOSTDISCOVERY,0.4285,SUSPECT,MEDIUM,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.5614,ROGUE,HIGH,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DOS-HTTP_FLOOD,0.3004,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.4258,SUSPECT,MEDIUM,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3002,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.3214,SUSPECT,MEDIUM,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.5418,ROGUE,HIGH,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
BENIGN,0.0588,KNOWN,LOW,False,False
MIRAI-GREIP_FLOOD,0.3004,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.4898,ROGUE,HIGH,False,True
DOS-UDP_FLOOD,0.329,SUSPECT,MEDIUM,True,False
DNS_SPOOFING,0.0095,KNOWN,LOW,False,False
DDOS-UDP_FLOOD,0.4911,ROGUE,HIGH,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
BENIGN,0.0567,KNOWN,LOW,False,False
VULNERABILITYSCAN,0.4769,ROGUE,HIGH,False,True
DDOS-TCP_FLOOD,0.4832,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
BENIGN,0.2384,KNOWN,LOW,False,False
DDOS-TCP_FLOOD,0.4832,ROGUE,HIGH,True,False
DOS-SYN_FLOOD,0.5019,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.4953,ROGUE,HIGH,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.0098,KNOWN,LOW,False,False
BENIGN,0.4934,ROGUE,HIGH,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.4835,ROGUE,HIGH,True,False
DOS-SYN_FLOOD,0.4403,SUSPECT,MEDIUM,True,False
DOS-SYN_FLOOD,0.5031,ROGUE,HIGH,True,False
DDOS-SYN_FLOOD,0.5522,ROGUE,HIGH,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.7643,ROGUE,CRITICAL,True,True
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-UDP_FLOOD,0.4684,ROGUE,HIGH,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.4953,ROGUE,HIGH,True,False
BENIGN,0.2546,KNOWN,LOW,False,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.3014,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.4933,ROGUE,HIGH,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.4958,ROGUE,HIGH,True,False
MITM-ARPSPOOFING,0.1486,KNOWN,LOW,False,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.3183,SUSPECT,MEDIUM,True,False
DDOS-SYN_FLOOD,0.5204,ROGUE,HIGH,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DOS-UDP_FLOOD,0.4055,SUSPECT,MEDIUM,True,False
MITM-ARPSPOOFING,0.209,KNOWN,LOW,False,False
RECON-HOSTDISCOVERY,0.237,KNOWN,LOW,False,False
DDOS-SYN_FLOOD,0.5335,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MITM-ARPSPOOFING,0.1137,KNOWN,LOW,False,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-UDP_FRAGMENTATION,0.4435,ROGUE,HIGH,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.2071,KNOWN,LOW,False,False
VULNERABILITYSCAN,0.1366,KNOWN,LOW,False,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
RECON-OSSCAN,0.0912,KNOWN,LOW,False,False
BENIGN,0.1897,KNOWN,LOW,False,False
DOS-TCP_FLOOD,0.4849,ROGUE,HIGH,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
BENIGN,0.1597,KNOWN,LOW,False,False
RECON-HOSTDISCOVERY,0.0971,KNOWN,LOW,False,False
